Andorra,77265,17.1254772536077
Montenegro,628062,15.5062716738156
Czechia,10708982,15.2279460363273
San Marino,33938,14.9272202251164
Slovenia,2078932,11.5584348117206
Luxembourg,625976,10.7360346083556
Bahrain,1701583,10.3981997939566
Serbia,6804596,10.1336949320724
United States,331002647,9.77242033958719
Israel,8655541,9.68721654718059
Sweden,10099270,9.64034034143062
Estonia,1326539,9.19829722307448
Lithuania,2722291,9.0831215325621
Netherlands,17134873,8.88814874787808
Belgium,11589616,8.54410534395618
Panama,4314768,8.44949253354989
France,68147687,8.33166208561121
Portugal,10196707,8.20356022782649
Croatia,4105268,8.09162763551612
Hungary,9660350,8.06749237864052
Georgia,3989175,7.77880138123798
Lebanon,6825442,7.71492893793545
Liechtenstein,38137,7.67233919815402
Switzerland,8654618,7.62568607880787
Spain,46754783,7.53736147165949
Cyprus,875899,7.44754817621666
Poland,37846605,7.37752303013705
North Macedonia,2083380,7.3134521786712
Armenia,2963234,7.29149301067685
Qatar,2881060,7.13806723914115
Slovakia,5459643,7.00065920061074
Jordan,10203140,6.97209878527591
European Union,444919060,6.9161375104946
Brazil,212559409,6.89643007052207
Austria,9006400,6.87144697104281
Malta,441539,6.86054912476588
Italy,60461828,6.65321101439407
Argentina,45195777,6.58770176691508
United Kingdom,67886004,6.52895403889143
Kuwait,4270563,6.41580512920662
North America,592072204,6.33866726835905
Latvia,1886202,6.28554099719966
Chile,19116209,6.26821458166732
Monaco,39244,6.25318520028539
Moldova,4033963,6.21812842606638
Bosnia and Herzegovina,3280815,6.04913718085293
Europe,748680069,5.99234303911996
Seychelles,98340,5.9721374822046
Bulgaria,6948445,5.81971937606184
Palestine,5101416,5.81136688323399
South America,430759772,5.77542695885724
Uruguay,3473727,5.71225084757668
Colombia,50882884,5.62020816272914
Maldives,540542,5.51946009745774
Romania,19237682,5.4854061939479
Peru,32971846,5.4575197275882
Kosovo,1932774,5.36213752875401
United Arab Emirates,9890400,5.26000970638195
Ireland,4937796,5.04010291231148
Costa Rica,5094114,4.92707858520638
Ukraine,43733759,4.85682010549333
Turkey,84339067,4.73963744464946
Albania,2877800,4.55504204600737
Denmark,5792203,4.33771053949594
Cape Verde,555988,4.295416447837
Germany,83783945,4.06446008241794
Paraguay,7132530,3.91273503230971
Belarus,9449321,3.79644209356418
Oman,5106622,3.78436077704596
Vatican,809,3.33745364647713
Greece,10423056,3.3102863497999
Russia,145934460,3.25540314467193
Canada,37742157,3.25462850467185
Belize,397621,3.18594842827718
Azerbaijan,10139175,3.14728762448621
